診療科名,曜日,受付h,初再診区分,紹介状有無,件数
PICCCVポートセンター,0,0,再診,紹介状無し,1
PICCCVポートセンター,0,8,再診,紹介状無し,1
PICCCVポートセンター,0,9,再診,紹介状無し,3
PICCCVポートセンター,0,10,再診,紹介状無し,2
PICCCVポートセンター,0,11,再診,紹介状無し,3
PICCCVポートセンター,0,12,再診,紹介状無し,1
PICCCVポートセンター,1,7,再診,紹介状無し,2
PICCCVポートセンター,1,8,再診,紹介状無し,1
PICCCVポートセンター,1,9,再診,紹介状無し,4
PICCCVポートセンター,1,10,再診,紹介状無し,2
PICCCVポートセンター,1,11,再診,紹介状無し,1
PICCCVポートセンター,1,12,再診,紹介状無し,1
PICCCVポートセンター,1,14,再診,紹介状無し,3
PICCCVポートセンター,2,8,再診,紹介状無し,1
PICCCVポートセンター,2,9,再診,紹介状無し,2
PICCCVポートセンター,2,10,再診,紹介状無し,2
PICCCVポートセンター,2,12,再診,紹介状無し,2
PICCCVポートセンター,2,13,再診,紹介状無し,1
PICCCVポートセンター,3,0,再診,紹介状無し,1
PICCCVポートセンター,3,8,再診,紹介状無し,1
PICCCVポートセンター,3,9,再診,紹介状無し,1
PICCCVポートセンター,3,10,再診,紹介状無し,2
PICCCVポートセンター,3,11,再診,紹介状無し,3
PICCCVポートセンター,3,12,再診,紹介状無し,1
PICCCVポートセンター,3,13,再診,紹介状無し,1
PICCCVポートセンター,3,14,再診,紹介状無し,1
PICCCVポートセンター,3,15,再診,紹介状無し,1
PICCCVポートセンター,3,16,再診,紹介状無し,1
PICCCVポートセンター,4,7,再診,紹介状無し,5
PICCCVポートセンター,4,8,再診,紹介状無し,2
PICCCVポートセンター,4,9,再診,紹介状無し,5
PICCCVポートセンター,4,10,再診,紹介状無し,5
PICCCVポートセンター,4,11,再診,紹介状無し,2
PICCCVポートセンター,4,13,再診,紹介状無し,1
PICCCVポートセンター,4,15,再診,紹介状無し,2
PICCCVポートセンター,4,16,再診,紹介状無し,1
がんゲノム,0,10,再診,紹介状無し,1
がんゲノム,0,12,再診,紹介状無し,1
がんゲノム,1,11,再診,紹介状無し,1
がんゲノム,1,13,再診,紹介状無し,1
がんゲノム,1,14,再診,紹介状無し,4
アレルギー科,0,0,再診,紹介状無し,1
アレルギー科,0,8,再診,紹介状無し,6
アレルギー科,0,9,再診,紹介状無し,13
アレルギー科,0,10,再診,紹介状無し,15
アレルギー科,0,10,初診,紹介状あり,1
アレルギー科,0,11,再診,紹介状無し,1
アレルギー科,1,0,再診,紹介状無し,2
アレルギー科,1,8,再診,紹介状無し,7
アレルギー科,1,9,再診,紹介状無し,22
アレルギー科,1,10,再診,紹介状無し,13
アレルギー科,1,10,初診,紹介状あり,1
アレルギー科,1,11,再診,紹介状無し,1
アレルギー科,2,0,再診,紹介状無し,1
アレルギー科,2,8,再診,紹介状無し,13
アレルギー科,2,9,再診,紹介状無し,16
アレルギー科,2,10,再診,紹介状無し,11
アレルギー科,2,11,再診,紹介状無し,1
アレルギー科,2,14,再診,紹介状無し,1
アレルギー科,3,0,再診,紹介状無し,2
アレルギー科,3,8,再診,紹介状無し,19
アレルギー科,3,9,再診,紹介状無し,20
アレルギー科,3,10,再診,紹介状無し,5
アレルギー科,3,11,再診,紹介状無し,2
ソーシャルワーカー,0,0,再診,紹介状無し,6
ソーシャルワーカー,0,8,再診,紹介状無し,1
