診療科名,曜日,受付h,初再診区分,紹介状有無,件数
PICCCVポートセンター,0,9,再診,紹介状無し,3
PICCCVポートセンター,0,10,再診,紹介状無し,1
PICCCVポートセンター,0,11,再診,紹介状無し,2
PICCCVポートセンター,0,12,再診,紹介状無し,1
PICCCVポートセンター,0,14,再診,紹介状無し,1
PICCCVポートセンター,1,8,再診,紹介状無し,1
PICCCVポートセンター,1,9,再診,紹介状無し,3
PICCCVポートセンター,1,11,再診,紹介状無し,1
PICCCVポートセンター,2,0,再診,紹介状無し,1
PICCCVポートセンター,2,9,再診,紹介状無し,4
PICCCVポートセンター,2,10,再診,紹介状無し,3
PICCCVポートセンター,2,11,再診,紹介状無し,2
PICCCVポートセンター,2,13,再診,紹介状無し,1
PICCCVポートセンター,2,16,再診,紹介状無し,2
PICCCVポートセンター,3,7,再診,紹介状無し,2
PICCCVポートセンター,3,8,再診,紹介状無し,1
PICCCVポートセンター,3,9,再診,紹介状無し,4
PICCCVポートセンター,3,10,再診,紹介状無し,4
PICCCVポートセンター,3,11,再診,紹介状無し,3
PICCCVポートセンター,3,14,再診,紹介状無し,2
PICCCVポートセンター,4,8,再診,紹介状無し,1
PICCCVポートセンター,4,9,再診,紹介状無し,2
PICCCVポートセンター,4,10,再診,紹介状無し,6
PICCCVポートセンター,4,11,再診,紹介状無し,4
PICCCVポートセンター,4,15,再診,紹介状無し,1
がんゲノム,0,9,再診,紹介状無し,1
がんゲノム,0,13,再診,紹介状無し,3
がんゲノム,0,14,再診,紹介状無し,2
がんゲノム,0,16,再診,紹介状無し,1
がんゲノム,0,17,再診,紹介状無し,1
がんゲノム,1,0,再診,紹介状無し,1
がんゲノム,1,8,再診,紹介状無し,2
がんゲノム,1,11,再診,紹介状無し,1
がんゲノム,1,13,再診,紹介状無し,2
がんゲノム,1,14,再診,紹介状無し,3
アレルギー科,0,0,再診,紹介状無し,2
アレルギー科,0,8,再診,紹介状無し,2
アレルギー科,0,9,再診,紹介状無し,14
アレルギー科,0,10,再診,紹介状無し,15
アレルギー科,0,10,初診,紹介状あり,1
アレルギー科,0,10,初診,紹介状無し,1
アレルギー科,0,11,再診,紹介状無し,1
アレルギー科,1,0,再診,紹介状無し,3
アレルギー科,1,8,再診,紹介状無し,9
アレルギー科,1,9,再診,紹介状無し,12
アレルギー科,1,10,再診,紹介状無し,6
アレルギー科,1,11,初診,紹介状あり,1
アレルギー科,2,0,再診,紹介状無し,1
アレルギー科,2,8,再診,紹介状無し,4
アレルギー科,2,9,再診,紹介状無し,10
アレルギー科,2,10,再診,紹介状無し,6
アレルギー科,2,11,再診,紹介状無し,1
アレルギー科,3,0,再診,紹介状無し,2
アレルギー科,3,0,初診,紹介状あり,1
アレルギー科,3,7,再診,紹介状無し,1
アレルギー科,3,8,再診,紹介状無し,20
アレルギー科,3,9,再診,紹介状無し,23
アレルギー科,3,10,再診,紹介状無し,9
ソーシャルワーカー,0,0,再診,紹介状無し,1
ソーシャルワーカー,0,8,再診,紹介状無し,2
ソーシャルワーカー,0,9,再診,紹介状無し,2
ソーシャルワーカー,0,11,再診,紹介状無し,2
ソーシャルワーカー,0,12,再診,紹介状無し,1
ソーシャルワーカー,0,13,再診,紹介状無し,1
ソーシャルワーカー,0,14,再診,紹介状無し,3
ソーシャルワーカー,0,15,再診,紹介状無し,2
ソーシャルワーカー,0,17,再診,紹介状無し,2
ソーシャルワーカー,1,0,再診,紹介状無し,3
ソーシャルワーカー,1,8,再診,紹介状無し,1
ソーシャルワーカー,1,10,再診,紹介状無し,4
ソーシャルワーカー,1,11,再診,紹介状無し,3
ソーシャルワーカー,1,12,再診,紹介状無し,2
ソーシャルワーカー,1,13,再診,紹介状無し,1
ソーシャルワーカー,1,14,再診,紹介状無し,2
ソーシャルワーカー,1,15,再診,紹介状無し,1
ソーシャルワーカー,1,16,再診,紹介状無し,1
ソーシャルワーカー,1,17,再診,紹介状無し,1
ソーシャルワーカー,2,0,再診,紹介状無し,3
ソーシャルワーカー,2,8,再診,紹介状無し,1
ソーシャルワーカー,2,9,再診,紹介状無し,1
ソーシャルワーカー,2,10,再診,紹介状無し,6
ソーシャルワーカー,2,11,再診,紹介状無し,4
ソーシャルワーカー,2,12,再診,紹介状無し,2
ソーシャルワーカー,2,13,再診,紹介状無し,1
ソーシャルワーカー,2,14,再診,紹介状無し,1
ソーシャルワーカー,2,15,再診,紹介状無し,2
ソーシャルワーカー,2,16,再診,紹介状無し,3
ソーシャルワーカー,2,17,再診,紹介状無し,1
ソーシャルワーカー,2,18,再診,紹介状無し,1
ソーシャルワーカー,2,19,再診,紹介状無し,1
ソーシャルワーカー,2,20,再診,紹介状無し,1
ソーシャルワーカー,3,0,再診,紹介状無し,6
ソーシャルワーカー,3,8,再診,紹介状無し,2
ソーシャルワーカー,3,9,再診,紹介状無し,6
ソーシャルワーカー,3,10,再診,紹介状無し,3
ソーシャルワーカー,3,11,再診,紹介状無し,1
ソーシャルワーカー,3,12,再診,紹介状無し,5
ソーシャルワーカー,3,15,再診,紹介状無し,1
ソーシャルワーカー,3,18,再診,紹介状無し,1
ソーシャルワーカー,4,0,再診,紹介状無し,10
ソーシャルワーカー,4,9,再診,紹介状無し,2
ソーシャルワーカー,4,10,再診,紹介状無し,6
ソーシャルワーカー,4,11,再診,紹介状無し,5
ソーシャルワーカー,4,12,再診,紹介状無し,3
ソーシャルワーカー,4,14,再診,紹介状無し,1
ソーシャルワーカー,4,15,再診,紹介状無し,3
ソーシャルワーカー,4,17,再診,紹介状無し,2
ソーシャルワーカー,4,18,再診,紹介状無し,1
ソーシャルワーカー,4,19,再診,紹介状無し,2
メンタルケア科,0,0,再診,紹介状無し,5
メンタルケア科,0,8,再診,紹介状無し,7
メンタルケア科,0,9,再診,紹介状無し,32
メンタルケア科,0,10,再診,紹介状無し,23
メンタルケア科,0,11,再診,紹介状無し,9
メンタルケア科,0,12,再診,紹介状無し,4
メンタルケア科,0,13,再診,紹介状無し,3
メンタルケア科,0,15,再診,紹介状無し,3
メンタルケア科,0,16,再診,紹介状無し,2
メンタルケア科,0,18,再診,紹介状無し,1
メンタルケア科,1,0,再診,紹介状無し,4
メンタルケア科,1,7,再診,紹介状無し,1
メンタルケア科,1,8,再診,紹介状無し,1
メンタルケア科,1,9,再診,紹介状無し,1
メンタルケア科,1,10,初診,紹介状あり,1
メンタルケア科,1,11,再診,紹介状無し,2
メンタルケア科,1,12,再診,紹介状無し,4
メンタルケア科,1,13,再診,紹介状無し,9
メンタルケア科,1,14,再診,紹介状無し,7
メンタルケア科,1,15,再診,紹介状無し,6
メンタルケア科,1,16,再診,紹介状無し,3
メンタルケア科,1,17,再診,紹介状無し,3
メンタルケア科,2,0,再診,紹介状無し,13
メンタルケア科,2,8,再診,紹介状無し,20
メンタルケア科,2,9,再診,紹介状無し,32
メンタルケア科,2,10,再診,紹介状無し,22
メンタルケア科,2,11,再診,紹介状無し,3
メンタルケア科,2,12,再診,紹介状無し,11
メンタルケア科,2,13,再診,紹介状無し,17
メンタルケア科,2,14,再診,紹介状無し,20
メンタルケア科,2,17,再診,紹介状無し,3
メンタルケア科,3,2,再診,紹介状無し,1
メンタルケア科,3,7,再診,紹介状無し,1
メンタルケア科,3,8,再診,紹介状無し,3
メンタルケア科,3,9,再診,紹介状無し,5
メンタルケア科,3,10,再診,紹介状無し,4
メンタルケア科,3,13,再診,紹介状無し,4
メンタルケア科,3,14,再診,紹介状無し,1
メンタルケア科,3,16,再診,紹介状無し,1
メンタルケア科,3,17,再診,紹介状無し,2
メンタルケア科,4,0,再診,紹介状無し,3
メンタルケア科,4,8,再診,紹介状無し,5
メンタルケア科,4,9,再診,紹介状無し,4
メンタルケア科,4,10,再診,紹介状無し,6
メンタルケア科,4,11,再診,紹介状無し,1
メンタルケア科,4,12,再診,紹介状無し,1
メンタルケア科,4,13,再診,紹介状無し,3
メンタルケア科,4,14,再診,紹介状無し,1
メンタルケア科,4,15,再診,紹介状無し,2
メンタルケア科,4,17,再診,紹介状無し,1
リウマチ膠原病内科,0,0,再診,紹介状無し,4
リウマチ膠原病内科,0,8,再診,紹介状無し,35
リウマチ膠原病内科,0,9,再診,紹介状無し,45
リウマチ膠原病内科,0,10,再診,紹介状無し,14
リウマチ膠原病内科,0,10,初診,紹介状あり,1
リウマチ膠原病内科,0,11,再診,紹介状無し,5
リウマチ膠原病内科,0,12,再診,紹介状無し,5
リウマチ膠原病内科,0,13,再診,紹介状無し,7
リウマチ膠原病内科,0,14,再診,紹介状無し,7
リウマチ膠原病内科,0,15,再診,紹介状無し,1
リウマチ膠原病内科,1,0,再診,紹介状無し,6
リウマチ膠原病内科,1,7,再診,紹介状無し,3
リウマチ膠原病内科,1,8,再診,紹介状無し,47
リウマチ膠原病内科,1,9,再診,紹介状無し,61
リウマチ膠原病内科,1,9,初診,紹介状あり,2
リウマチ膠原病内科,1,10,再診,紹介状無し,49
リウマチ膠原病内科,1,10,初診,紹介状あり,1
