診療科名,予約名称,区分,曜日,bin_idx,bin_label,稼働日数,該当日数,稼働頻度率,件数合計,実診察分数,件数_日平均,実診察分数_日平均
PICCCVポートセンター,SL_0009,全体,0,3,09:30,2,5,0.4,2,10,0.4,2.0
PICCCVポートセンター,SL_0009,全体,0,4,10:00,1,5,0.2,1,3,0.2,0.6
PICCCVポートセンター,SL_0009,全体,0,11,13:30,1,5,0.2,1,1,0.2,0.2
PICCCVポートセンター,SL_0009,全体,1,3,09:30,1,4,0.25,1,18,0.25,4.5
PICCCVポートセンター,SL_0009,全体,1,4,10:00,1,4,0.25,1,1,0.25,0.2
PICCCVポートセンター,SL_0009,全体,1,5,10:30,2,4,0.5,2,7,0.5,1.8
PICCCVポートセンター,SL_0009,全体,1,6,11:00,1,4,0.25,1,9,0.25,2.2
PICCCVポートセンター,SL_0009,全体,1,8,12:00,1,4,0.25,1,2,0.25,0.5
PICCCVポートセンター,SL_0009,全体,1,14,15:00,1,4,0.25,2,18,0.5,4.5
PICCCVポートセンター,SL_0009,全体,1,15,15:30,1,4,0.25,1,6,0.25,1.5
PICCCVポートセンター,SL_0009,全体,2,3,09:30,1,4,0.25,1,6,0.25,1.5
PICCCVポートセンター,SL_0009,全体,2,4,10:00,2,4,0.5,2,12,0.5,3.0
PICCCVポートセンター,SL_0009,全体,2,5,10:30,1,4,0.25,1,2,0.25,0.5
PICCCVポートセンター,SL_0009,全体,3,5,10:30,1,4,0.25,1,1,0.25,0.2
PICCCVポートセンター,SL_0009,全体,3,6,11:00,1,4,0.25,1,3,0.25,0.8
PICCCVポートセンター,SL_0009,全体,4,13,14:30,1,4,0.25,1,3,0.25,0.8
PICCCVポートセンター,SL_0009,全体,4,14,15:00,1,4,0.25,1,2,0.25,0.5
PICCCVポートセンター,SL_0009,再診,0,3,09:30,2,5,0.4,2,10,0.4,2.0
PICCCVポートセンター,SL_0009,再診,0,4,10:00,1,5,0.2,1,3,0.2,0.6
PICCCVポートセンター,SL_0009,再診,0,11,13:30,1,5,0.2,1,1,0.2,0.2
PICCCVポートセンター,SL_0009,再診,1,3,09:30,1,4,0.25,1,18,0.25,4.5
PICCCVポートセンター,SL_0009,再診,1,4,10:00,1,4,0.25,1,1,0.25,0.2
PICCCVポートセンター,SL_0009,再診,1,5,10:30,2,4,0.5,2,7,0.5,1.8
PICCCVポートセンター,SL_0009,再診,1,6,11:00,1,4,0.25,1,9,0.25,2.2
PICCCVポートセンター,SL_0009,再診,1,8,12:00,1,4,0.25,1,2,0.25,0.5
PICCCVポートセンター,SL_0009,再診,1,14,15:00,1,4,0.25,2,18,0.5,4.5
PICCCVポートセンター,SL_0009,再診,1,15,15:30,1,4,0.25,1,6,0.25,1.5
PICCCVポートセンター,SL_0009,再診,2,3,09:30,1,4,0.25,1,6,0.25,1.5
PICCCVポートセンター,SL_0009,再診,2,4,10:00,2,4,0.5,2,12,0.5,3.0
PICCCVポートセンター,SL_0009,再診,2,5,10:30,1,4,0.25,1,2,0.25,0.5
PICCCVポートセンター,SL_0009,再診,3,5,10:30,1,4,0.25,1,1,0.25,0.2
PICCCVポートセンター,SL_0009,再診,3,6,11:00,1,4,0.25,1,3,0.25,0.8
PICCCVポートセンター,SL_0009,再診,4,13,14:30,1,4,0.25,1,3,0.25,0.8
PICCCVポートセンター,SL_0009,再診,4,14,15:00,1,4,0.25,1,2,0.25,0.5
PICCCVポートセンター,SL_0009,薬再診,0,3,09:30,1,5,0.2,1,2,0.2,0.4
PICCCVポートセンター,SL_0009,薬再診,0,4,10:00,1,5,0.2,1,3,0.2,0.6
PICCCVポートセンター,SL_0009,薬再診,0,11,13:30,1,5,0.2,1,1,0.2,0.2
PICCCVポートセンター,SL_0009,薬再診,1,4,10:00,1,4,0.25,1,1,0.25,0.2
PICCCVポートセンター,SL_0009,薬再診,1,5,10:30,1,4,0.25,1,2,0.25,0.5
PICCCVポートセンター,SL_0009,薬再診,1,8,12:00,1,4,0.25,1,2,0.25,0.5
PICCCVポートセンター,SL_0009,薬再診,2,4,10:00,1,4,0.25,1,3,0.25,0.8
PICCCVポートセンター,SL_0009,薬再診,2,5,10:30,1,4,0.25,1,2,0.25,0.5
