診療科名,予約担当者匿名ID,予約名称,初再診区分,紹介状有無,月,件数
PICCCVポートセンター,DR_XX009,SL_0009,再診,紹介状無し,2025-10,74
がんゲノム,DR_ON001,SL_0088,再診,紹介状無し,2025-10,8
アレルギー科,DR_AL001,SL_0009,再診,紹介状無し,2025-10,2
アレルギー科,DR_AL001,SL_0033,再診,紹介状無し,2025-10,34
アレルギー科,DR_AL002,SL_0009,再診,紹介状無し,2025-10,6
アレルギー科,DR_AL002,SL_0189,再診,紹介状無し,2025-10,59
アレルギー科,DR_AL002,SL_0189,初診,紹介状あり,2025-10,1
アレルギー科,DR_AL002,SL_0628,初診,紹介状あり,2025-10,1
アレルギー科,DR_AL003,SL_0009,再診,紹介状無し,2025-10,2
アレルギー科,DR_AL004,SL_0005,再診,紹介状無し,2025-10,2
アレルギー科,DR_RS2003,SL_0009,再診,紹介状無し,2025-10,1
アレルギー科,DR_RS2003,SL_0061,再診,紹介状無し,2025-10,45
アレルギー科,DR_RS2003,SL_0361,再診,紹介状無し,2025-10,2
アレルギー科,DR_RS2003,SL_0874,再診,紹介状無し,2025-10,1
アレルギー科,DR_RS2003,SL_0874,初診,紹介状あり,2025-10,1
アレルギー科,DR_RS2005,SL_0009,再診,紹介状無し,2025-10,1
アレルギー科,DR_RS2005,SL_0100,再診,紹介状無し,2025-10,28
ソーシャルワーカー,DR_XX001,SL_0009,再診,紹介状無し,2025-10,16
ソーシャルワーカー,DR_XX001,SL_0011,再診,紹介状無し,2025-10,116
メンタルケア科,DR_MN001,SL_0009,再診,紹介状無し,2025-10,2
メンタルケア科,DR_MN001,SL_0043,再診,紹介状無し,2025-10,148
メンタルケア科,DR_MN001,SL_0043,初診,紹介状無し,2025-10,1
メンタルケア科,DR_MN001,SL_0624,再診,紹介状無し,2025-10,6
メンタルケア科,DR_MN002,SL_0009,再診,紹介状無し,2025-10,79
メンタルケア科,DR_MN004,SL_0009,再診,紹介状無し,2025-10,3
メンタルケア科,DR_MN004,SL_0255,再診,紹介状無し,2025-10,56
メンタルケア科,DR_MN004,SL_0545,再診,紹介状無し,2025-10,3
メンタルケア科,DR_MN005,SL_0609,再診,紹介状無し,2025-10,10
メンタルケア科,DR_MN006,SL_0005,再診,紹介状無し,2025-10,4
メンタルケア科,DR_MN007,SL_0009,再診,紹介状無し,2025-10,3
メンタルケア科,DR_MN008,SL_0678,再診,紹介状無し,2025-10,2
メンタルケア科,DR_MN009,SL_0721,再診,紹介状無し,2025-10,49
メンタルケア科,DR_MN009,SL_0763,再診,紹介状無し,2025-10,10
メンタルケア科,DR_MN010,SL_0828,再診,紹介状無し,2025-10,1
メンタルケア科,DR_MN011,SL_0891,再診,紹介状無し,2025-10,2
リウマチ膠原病内科,DR_RH001,SL_0008,再診,紹介状無し,2025-10,34
リウマチ膠原病内科,DR_RH002,SL_0009,再診,紹介状無し,2025-10,13
リウマチ膠原病内科,DR_RH002,SL_0014,再診,紹介状無し,2025-10,39
リウマチ膠原病内科,DR_RH002,SL_0426,初診,紹介状あり,2025-10,2
リウマチ膠原病内科,DR_RH002,SL_0682,再診,紹介状無し,2025-10,4
リウマチ膠原病内科,DR_RH003,SL_0009,再診,紹介状無し,2025-10,21
リウマチ膠原病内科,DR_RH003,SL_0065,初診,紹介状あり,2025-10,2
