診療科名,月,診療区分,診察時間_階級,併科受診フラグ,紹介状有無,初再診区分,予約フラグ,診察前検査フラグ,件数
PICCCVポートセンター,2025-07,薬のみ,0-4分,有,紹介状無し,再診,枠なし予約,なし,15
PICCCVポートセンター,2025-07,薬のみ,0-4分,無,紹介状無し,再診,枠なし予約,なし,40
PICCCVポートセンター,2025-07,薬のみ,10-14分,有,紹介状無し,再診,枠なし予約,なし,1
PICCCVポートセンター,2025-07,薬のみ,10-14分,無,紹介状無し,再診,枠なし予約,なし,1
PICCCVポートセンター,2025-07,薬のみ,5-9分,有,紹介状無し,再診,枠なし予約,なし,1
PICCCVポートセンター,2025-07,薬のみ,5-9分,無,紹介状無し,再診,枠なし予約,なし,1
PICCCVポートセンター,2025-07,薬のみ,不明,有,紹介状無し,再診,枠なし予約,なし,1
PICCCVポートセンター,2025-07,薬のみ,不明,無,紹介状無し,再診,枠なし予約,なし,4
がんゲノム,2025-07,通常診療,0-4分,有,紹介状無し,再診,枠あり予約,なし,1
がんゲノム,2025-07,通常診療,10-14分,有,紹介状無し,再診,枠あり予約,なし,2
がんゲノム,2025-07,通常診療,15-29分,有,紹介状無し,再診,枠あり予約,なし,2
がんゲノム,2025-07,通常診療,15-29分,,紹介状無し,再診,枠あり予約,なし,2
がんゲノム,2025-07,通常診療,30分以上,有,紹介状無し,再診,枠あり予約,なし,1
がんゲノム,2025-07,通常診療,30分以上,,紹介状無し,再診,枠あり予約,なし,1
がんゲノム,2025-07,通常診療,5-9分,有,紹介状無し,再診,枠あり予約,なし,1
がんゲノム,2025-07,通常診療,不明,有,紹介状無し,再診,枠あり予約,なし,1
アレルギー科,2025-07,薬のみ,10-14分,無,紹介状無し,再診,枠なし予約,なし,1
アレルギー科,2025-07,薬のみ,5-9分,有,紹介状無し,再診,枠なし予約,なし,1
アレルギー科,2025-07,通常診療,0-4分,有,紹介状無し,再診,枠あり予約,なし,6
アレルギー科,2025-07,通常診療,0-4分,有,紹介状無し,再診,枠あり予約,検査済,2
アレルギー科,2025-07,通常診療,0-4分,,紹介状無し,再診,枠あり予約,なし,20
アレルギー科,2025-07,通常診療,0-4分,,紹介状無し,再診,枠あり予約,検査済,2
アレルギー科,2025-07,通常診療,0-4分,,紹介状無し,再診,枠あり予約,至急済,2
アレルギー科,2025-07,通常診療,10-14分,有,紹介状無し,再診,枠あり予約,なし,5
